id;nom;birlik
1;"Затраты труда рабочих-строителей";"чел.-ч"
2;"Шефмонтаж";"сум"
3;"Затраты труда машинистов";"чел.-ч"
4;"Транспортные затраты для прочих материалов";"сум"
5;"Стоимость материальных ресурсов /кроме принимаемых по проекту/, отмеченных меткой С и прочих";"сум"
6;"Транспортные расходы на материальные ресурсы";"сум"
7;"Амортизация опалубки";"сум"
8;"Амортизация подмостей";"сум"
9;"Масса оборудования";"т"
10;"Аргон газообразный сорт 1";"м3"
11;"Газ природный";"1000м3"
12;"Пар";"кг"
13;"Амортизация стальных балок";"сум"
14;"Материалы переходных зон";"м3"
15;"Масса грунта";"т"
16;"Сжатый воздух";"100м3"
17;"Электроэнергия";"кВт-ч"
18;"Транспортные расходы на привозные материалы";"сум"
19;"Транспортные расходы на местные материалы";"сум"
21;"Прямые затраты, учтенные в стоимости расценки";"сум"
22;"Стоимость материалов, учтенная в стоимости расценки";"сум"
23;"Эксплуатация машин, учтенная в стоимости расценки";"сум"
24;"Заработная плата машинистов, учтенная в стоимости расценки";"сум"
25;"Заработная плата основных рабочих, учтенная в стоимости расценки";"сум"
26;"Стоимость возвращаемых материалов, учтенная в стоимости расценки";"сум"
27;"Амортизация оборудования для натяжения арматуры";"сум"
28;"Опалубка скользящая (амортизация)";"комплект"
29;"Опалубка переставная (амортизация)";"комплект"
30;"Опалубка металлическая (амортизация)";"комплект"
31;"Пар";"Гкал"
32;"Масса привозных материалов";"т"
33;"Масса 1 м трубопровода";"кг"
34;"Масса 1 фасонной детали";"кг"
35;"Масса 1 м трубопровода";"т"
36;"Масса оборудования (до)";"т"
69;"Транспортные затраты при перевозке грузов";"т"
70;"Амортизация стоимости машин и механизмов в час";"сум"
80;"Машины и механизмы";"маш.-ч"
81;"Аппарат сварочный экструдерный WЕGЕNЕR мощностью 3,5 кВт";"маш.-ч"
82;"Мастерские аварийные";"маш.-ч"
83;"Агрегаты для приготовления рабочих жидкостей-ядохимикатов (без трактора)";"маш.-ч"
84;"Агрегаты шпатлево-окрасочные";"маш.-ч"
85;"Автогрейдер";"маш.-ч"
86;"Автопогрузчики с вилочными подхватами 1 т";"маш.-ч"
87;"Автопогрузчики с вилочными подхватами 2 т";"маш.-ч"
